hex_id,n_number,airport_base
A01A60,N1055T,39N
A023C3,N108PT,CDW
A034B5,N112MA,N51
A09101,N1356U,CDW
A0C6E5,N1493E,CDW
A19C2E,N20226,MMU
A21690,N2334G,BLM
A274E8,N25773,N51
A304F3,N294GG,CDW
A31448,N298MC,39N
A31CB3,N3XF,N51
A32DFA,N3038U,LDJ
A380C5,N3249F,N51
A3D04B,N345EF,CDW
A4758B,N387CP,39N
A4CF18,N409LP,N51
A548DB,N44GA,SMQ
A5584D,N4431R,39N
A57854,N4511F,SMQ
A5B73A,N4679L,47N
A60EE1,N49MQ,CDW
A64E88,N505WS,N51
A651D8,N506SP,CDW
A67B51,N5169E,CDW
A6C66C,N53576,CDW
A6E92B,N5440L,N51
A73CEB,N56578,SMQ
A8412B,N63079,LDJ
A86E47,N642SP,N51
A90E4D,N6829W,SMQ
A9D2FF,N732FJ,MMU
A9D718,N733KG,CDW
A9DB14,N734NA,N40
AA3A81,N75829,CDW
AA482C,N7614J,47N
AADC82,N7995G,N40
AB0D35,N811BJ,MMU
AB232A,N8168V,N51
ABE816,N8664S,47N
ABF4E5,N87KG,SMQ
ABFAA3,N871G,CDW
AC85C8,N906DG,N51
ACA9D4,N915G,MMU
ACE9F6,N931G,CDW
AD0F8A,N9400K,N51
AD179A,N94247,N51
AD2F2D,N949G,CDW
AD3F14,N95242,SMQ
ADC204,N986G,MMU
ADC88D,N98772,N51
ADF3BF,N9987Y,SMQ
