owner,operator_name,operator_type,airport_base
150TH AERO FLYING CLUB,150th Aero,club,MMU
150TH AERO FLYING CLUB INC,150th Aero,club,MMU
AA AERO INC,Air Fleet Trn Sys,school,CDW
AA-AERO INC,Air Fleet Trn Sys,school,CDW
AIR MODS FLIGHT CENTER,Air-Mods Flt Acdmy,school and rental,N87
AIR-MODS FLIGHT ACADEMY,Air-Mods Flt Acdmy,school and rental,N87
AIR-MODS FLIGHT ACADEMY INC,Air-Mods Flt Acdmy,school and rental,N87
AMERIFLYERS OF FLORIDA LLC,American Flyers,school,MMU
AMERIFLYERS OF TEXAS INC,American Flyers,school,MMU
BLUE SKY AVIATION ASSOCIATION INC,Blue Sky Avn Assoc,club,N51
CENTURY AIR INC,Century Air,school,CDW
CERTIFIED AVIATION LLC,Certified Flyers,school,MMU
CF IMAGES LLC,Century Air,school,CDW
CHRISTIANSEN AVIATION LLC,Infinity Flt Grp,school,TTN
FIELD GEORGE WALKER DBA,Somerset Air Svc,school and rental,SMQ
FLYING ZEBRA AIRCRAFT HOLDINGS LLC,Flying Zebra,charter,HPN
FLYING ZEBRA PARTNERS LLC,Flying Zebra,charter,HPN
FOX LEASING GROUP LLC,Infinity Flt Grp,school,TTN
GEORGE WALKER FIELD INC,Somerset Air Svc,school and rental,SMQ
GEORGE WALKER FIELD INC DBA,Somerset Air Svc,school and rental,SMQ
HENRIE AVIATION LLC,Century Air,school,CDW
INFINITY FLIGHT GROUP LLC,Infinity Flt Grp,school,TTN
LUVSFLYING FLIGHT TRAINING LLC,Luvsflying Flt Trn,school,LDJ
MACH 1 PILOTS ASSOCIATION INC,Mach 1 Pilots Assoc,club,47N
MUSTANG SALLY AVIATION LLC,Infinity Flt Grp,school,TTN
MUSTANG SALLY LLC,Infinity Flt Grp,school,TTN
PILOTS FLYING SCHOOL LLC,PF School,school,3N6
RARITAN VALLEY FLYING SCHOOL,Princeton Fl Schl,school,39N
RICHMOND PILOTS CORP,Richmond Pilots,club,LDJ
RTD AVIATION LLC,TriState Avn,school,47N
SKY AVIATION CORP,Sky Avn,club,N51
SOLBERG AVIATION CO INC,Solberg Avn,school,N51
SOLBERG AVN CO INC,Solberg Avn,school,N51
SOMERSET AIR SERVICE INC,Somerset Air Svc,school and rental,SMQ
SVETFUL AVIATION LLC,Infinity Flt Grp,school,TTN
SVETFUR AVIATION LLC,Infinity Flt Grp,school,TTN
